Price,Title,Location,Bedrooms,Bathrooms,Parking,Scrape Date
22550000,3 Bedroom Apartment / Flat,Westlands,3,4,2,2026-02-21
17500000,3 Bedroom Apartment / Flat,Westlands,3,4.5,2,2026-02-21
5300000,1 Bedroom Apartment / Flat,Westlands,1,1,1,2026-02-21
13000000,2 Bedroom Apartment / Flat,Westlands,2,3,1,2026-02-21
11236000,1 Bedroom Apartment / Flat,Westlands,1,1,1,2026-02-21
6200000,1 Bedroom Apartment / Flat,Westlands,1,1,1,2026-02-21
14000000,2 Bedroom Apartment / Flat,Westlands,2,2,1,2026-02-21
9200000,1 Bedroom Apartment / Flat,Westlands,1,1,1,2026-02-21
9000000,1 Bedroom Apartment / Flat,Westlands,1,1,1,2026-02-21
11236000,1 Bedroom Apartment / Flat,Westlands,1,1,1,2026-02-21
14000000,2 Bedroom Apartment / Flat,Westlands,2,2,2,2026-02-21
13900000,2 Bedroom Apartment / Flat,Westlands,2,3,1,2026-02-21
13900000,2 Bedroom Apartment / Flat,Westlands,2,3,1,2026-02-21
14100000,2 Bedroom Apartment / Flat,Westlands,2,2,1,2026-02-21
12230000,2 Bedroom Apartment / Flat,Westlands,2,2,1,2026-02-21
19500000,3 Bedroom Apartment / Flat,Westlands,3,4.5,2,2026-02-21
6000000,Apartment / Flat,Westlands,,,,2026-02-21
16700000,2 Bedroom Apartment / Flat,Westlands,2,2.5,1,2026-02-21
13000000,2 Bedroom Apartment / Flat,Westlands,2,2,1,2026-02-21
12500000,2 Bedroom Apartment / Flat,Westlands,2,2,1,2026-02-21
11000000,2 Bedroom Apartment / Flat,Westlands,2,2,1,2026-02-21
13200000,2 Bedroom Apartment / Flat,Westlands,2,2,1,2026-02-21
9300000,1 Bedroom Apartment / Flat,Westlands,1,1,1,2026-02-21
24600000,3 Bedroom Apartment / Flat,Westlands,3,4.5,2,2026-02-21
31000000,4 Bedroom Apartment / Flat,Westlands,4,5.5,2,2026-02-21
14000000,2 Bedroom Apartment / Flat,Westlands,2,2,2,2026-02-21
8700000,1 Bedroom Apartment / Flat,Westlands,1,1,1,2026-02-21
6440000,1 Bedroom Apartment / Flat,Westlands,1,1,1,2026-02-21
20300000,3 Bedroom Apartment / Flat,Westlands,3,3,2,2026-02-21
24600000,3 Bedroom Apartment / Flat,Westlands,3,4.5,2,2026-02-21
20010000,2 Bedroom Apartment / Flat,Westlands,2,2,2,2026-02-21
31000000,4 Bedroom Apartment / Flat,Westlands,4,5.5,2,2026-02-21
8730000,1 Bedroom Apartment / Flat,Westlands,1,1,1,2026-02-21
5800000,1 Bedroom Apartment / Flat,Westlands,1,1,1,2026-02-21
20010000,2 Bedroom Apartment / Flat,Westlands,2,2,2,2026-02-21
20010000,2 Bedroom Apartment / Flat,Westlands,2,2,2,2026-02-21
9022900,1 Bedroom Apartment / Flat,Westlands,1,1,1,2026-02-21
9022900,1 Bedroom Apartment / Flat,Westlands,1,1,1,2026-02-21
9022900,1 Bedroom Apartment / Flat,Westlands,1,1,1,2026-02-21
9000000,1 Bedroom Apartment / Flat,Westlands,1,1,1,2026-02-21
9000000,1 Bedroom Apartment / Flat,Westlands,1,1,1,2026-02-21
12840000,2 Bedroom Apartment / Flat,Westlands,2,2,2,2026-02-21
14000000,2 Bedroom Apartment / Flat,Westlands,2,2,2,2026-02-21
6440000,1 Bedroom Apartment / Flat,Westlands,1,1,1,2026-02-21
87000000,1 Bedroom Apartment / Flat,Westlands,1,1,1,2026-02-21
19000000,3 Bedroom Apartment / Flat,Westlands,3,3,2,2026-02-21
17500000,3 Bedroom Apartment / Flat,Westlands,3,3,2,2026-02-21
35000000,5 Bedroom Apartment / Flat,Westlands,5,6,4,2026-02-21
7630000,1 Bedroom Apartment / Flat,Westlands,1,1,1,2026-02-21
5800000,1 Bedroom Apartment / Flat,Westlands,1,1,1,2026-02-21
5300000,1 Bedroom Apartment / Flat,Westlands,1,1,1,2026-02-21
13000000,2 Bedroom Apartment / Flat,Westlands,2,3,2,2026-02-21
24610000,3 Bedroom Apartment / Flat,Westlands,3,4,2,2026-02-21
8700000,1 Bedroom Apartment / Flat,Westlands,1,1,1,2026-02-21
9200000,1 Bedroom Apartment / Flat,Westlands,1,1,1,2026-02-21
8940000,1 Bedroom Apartment / Flat,Westlands,1,1,1,2026-02-21
7000000,1 Bedroom Apartment / Flat,Westlands,1,1,1,2026-02-21
9200000,1 Bedroom Apartment / Flat,Westlands,1,1,1,2026-02-21
9000000,1 Bedroom Apartment / Flat,Westlands,1,1,1,2026-02-21
35000000,5 Bedroom Apartment / Flat,Westlands,5,6,4,2026-02-21
12000000,2 Bedroom Apartment / Flat,Westlands,2,2,1,2026-02-21
8100000,1 Bedroom Apartment / Flat,Westlands,1,1,1,2026-02-21
19840000,3 Bedroom Apartment / Flat,Westlands,3,4,2,2026-02-21
15500000,2 Bedroom Apartment / Flat,Westlands,2,3,1,2026-02-21
8400000,1 Bedroom Apartment / Flat,Westlands,1,1,1,2026-02-21
6100000,1 Bedroom Apartment / Flat,Westlands,1,1,1,2026-02-21
9000000,1 Bedroom Apartment / Flat,Westlands,1,1,1,2026-02-21
10300000,1 Bedroom Apartment / Flat,Westlands,1,1,1,2026-02-21
8940000,1 Bedroom Apartment / Flat,Westlands,1,1,1,2026-02-21
7000000,1 Bedroom Apartment / Flat,Westlands,1,1,1,2026-02-21
6830000,1 Bedroom Apartment / Flat,Westlands,1,1,1,2026-02-21
12000000,2 Bedroom Apartment / Flat,Westlands,2,2,1,2026-02-21
14450000,2 Bedroom Apartment / Flat,Westlands,2,3,1,2026-02-21
15500000,2 Bedroom Apartment / Flat,Westlands,2,3,1,2026-02-21
9200000,1 Bedroom Apartment / Flat,Westlands,1,1,1,2026-02-21
9000000,1 Bedroom Apartment / Flat,Westlands,1,1,1,2026-02-21
14000000,2 Bedroom Apartment / Flat,Westlands,2,3,3,2026-02-21
9000000,1 Bedroom Apartment / Flat,Westlands,1,1,1,2026-02-21
9000000,1 Bedroom Apartment / Flat,Westlands,1,1,1,2026-02-21
9000000,1 Bedroom Apartment / Flat,Westlands,1,1,1,2026-02-21
19000000,3 Bedroom Apartment / Flat,Westlands,3,3,2,2026-02-21
6440000,1 Bedroom Apartment / Flat,Westlands,1,1,1,2026-02-21
10500000,1 Bedroom Apartment / Flat,Westlands,1,1,1,2026-02-21
13800000,2 Bedroom Apartment / Flat,Westlands,2,2,1,2026-02-21
12000000,2 Bedroom Apartment / Flat,Westlands,2,2,1,2026-02-21
25380000,3 Bedroom Apartment / Flat,Westlands,3,5,8,2026-02-21
25380000,3 Bedroom Apartment / Flat,Westlands,3,4,8,2026-02-21
25380000,3 Bedroom Apartment / Flat,Westlands,3,5,6,2026-02-21
25380000,3 Bedroom Apartment / Flat,Westlands,3,4,6,2026-02-21
10206800,2 Bedroom Apartment / Flat,Westlands,2,2,1,2026-02-21
6976800,1 Bedroom Apartment / Flat,Westlands,1,1,1,2026-02-21
17200000,2 Bedroom Apartment / Flat,Westlands,2,3,1,2026-02-21
23000000,3 Bedroom Apartment / Flat,Westlands,3,3,7,2026-02-21
19800000,3 Bedroom Apartment / Flat,Westlands,3,4.5,2,2026-02-21
21800000,3 Bedroom Apartment / Flat,Westlands,3,4.5,2,2026-02-21
18500000,3 Bedroom Apartment / Flat,Westlands,3,3,2,2026-02-21
17054400,3 Bedroom Apartment / Flat,Westlands,3,4.5,2,2026-02-21
19638400,4 Bedroom Apartment / Flat,Westlands,4,5.5,2,2026-02-21
21000000,3 Bedroom Apartment / Flat,Westlands,3,4.5,2,2026-02-21
27000000,4 Bedroom Apartment / Flat,Westlands,4,5.5,2,2026-02-21
23000000,3 Bedroom Apartment / Flat,Westlands,3,4,7,2026-02-21
23000000,1 Bedroom Apartment / Flat,Westlands,1,1,7,2026-02-21
23000000,3 Bedroom Apartment / Flat,Westlands,3,4,7,2026-02-21
23000000,3 Bedroom Apartment / Flat,Westlands,3,3,7,2026-02-21
6200000,1 Bedroom Apartment / Flat,Westlands,1,1,1,2026-02-21
34520000,4 Bedroom Apartment / Flat,Westlands,4,5,3,2026-02-21
9200000,1 Bedroom Apartment / Flat,Westlands,1,1,1,2026-02-21
9000000,1 Bedroom Apartment / Flat,Westlands,1,1,1,2026-02-21
6500000,1 Bedroom Apartment / Flat,Westlands,1,1,1,2026-02-21
6500000,1 Bedroom Apartment / Flat,Westlands,1,1,1,2026-02-21
6500000,1 Bedroom Apartment / Flat,Westlands,1,1,1,2026-02-21
15500000,2 Bedroom Apartment / Flat,Westlands,2,3,1,2026-02-21
15500000,2 Bedroom Apartment / Flat,Westlands,2,3,1,2026-02-21
11500000,2 Bedroom Apartment / Flat,Westlands,2,2,1,2026-02-21
6500000,1 Bedroom Apartment / Flat,Westlands,1,1,1,2026-02-21
28553200,5 Bedroom Apartment / Flat,Westlands,5,6.5,3,2026-02-21
11800000,2 Bedroom Apartment / Flat,Westlands,2,2,1,2026-02-21
14800000,3 Bedroom Apartment / Flat,Westlands,3,2,1,2026-02-21
9000000,1 Bedroom Apartment / Flat,Westlands,1,1,1,2026-02-21
12000000,2 Bedroom Apartment / Flat,Westlands,2,2,2,2026-02-21
6800000,1 Bedroom Apartment / Flat,Westlands,1,1,7,2026-02-21
18300000,3 Bedroom Apartment / Flat,Westlands,3,4.5,2,2026-02-21
22680000,3 Bedroom Apartment / Flat,Westlands,3,4.5,2,2026-02-21
16450000,2 Bedroom Apartment / Flat,Westlands,2,3,1,2026-02-21
15150000,2 Bedroom Apartment / Flat,Westlands,2,3,1,2026-02-21
14450000,2 Bedroom Apartment / Flat,Westlands,2,3,1,2026-02-21
23000000,3 Bedroom Apartment / Flat,Westlands,3,4,7,2026-02-21
8800000,1 Bedroom Apartment / Flat,Westlands,1,1,1,2026-02-21
8940000,1 Bedroom Apartment / Flat,Westlands,1,1,1,2026-02-21
7000000,1 Bedroom Apartment / Flat,Westlands,1,1,1,2026-02-21
8000000,1 Bedroom Apartment / Flat,Westlands,1,1,1,2026-02-21
8200000,1 Bedroom Apartment / Flat,Westlands,1,1,1,2026-02-21
8200000,1 Bedroom Apartment / Flat,Westlands,1,1,1,2026-02-21
13000000,2 Bedroom Apartment / Flat,Westlands,2,2,2,2026-02-21
8000000,1 Bedroom Apartment / Flat,Westlands,1,1,1,2026-02-21
9200000,1 Bedroom Apartment / Flat,Westlands,1,1,1,2026-02-21
9000000,1 Bedroom Apartment / Flat,Westlands,1,1,1,2026-02-21
20000000,2 Bedroom Apartment / Flat,Westlands,2,2,2,2026-02-21
6976800,1 Bedroom Apartment / Flat,Westlands,1,1,1,2026-02-21
12000000,2 Bedroom Apartment / Flat,Westlands,2,2,1,2026-02-21
23000000,2 Bedroom Apartment / Flat,Westlands,2,2,2,2026-02-21
28000000,3 Bedroom Apartment / Flat,Westlands,3,3,3,2026-02-21
18100000,3 Bedroom Apartment / Flat,Westlands,3,4,3,2026-02-21
27500000,4 Bedroom Apartment / Flat,Westlands,4,5,3,2026-02-21
35000000,5 Bedroom Apartment / Flat,Westlands,5,6,4,2026-02-21
17500000,3 Bedroom Apartment / Flat,Westlands,3,3,2,2026-02-21
8100000,1 Bedroom Apartment / Flat,Westlands,1,1,1,2026-02-21
22550000,3 Bedroom Apartment / Flat,Westlands,3,4,2,2026-02-21
41000000,5 Bedroom Apartment / Flat,Westlands,5,5,2,2026-02-21
85000000,4 Bedroom Apartment / Flat,Westlands,4,5,3,2026-02-21
12300000,2 Bedroom Apartment / Flat,Westlands,2,3,1,2026-02-21
12300000,2 Bedroom Apartment / Flat,Westlands,2,3,1,2026-02-21
14000000,2 Bedroom Apartment / Flat,Westlands,2,3,2,2026-02-21
24610000,3 Bedroom Apartment / Flat,Westlands,3,4,2,2026-02-21
31000000,4 Bedroom Apartment / Flat,Westlands,4,4,2,2026-02-21
16450000,2 Bedroom Apartment / Flat,Westlands,2,3,1,2026-02-21
9000000,1 Bedroom Apartment / Flat,Westlands,1,1,1,2026-02-21
15150000,2 Bedroom Apartment / Flat,Westlands,2,3,1,2026-02-21
14450000,2 Bedroom Apartment / Flat,Westlands,2,3,1,2026-02-21
9000000,1 Bedroom Apartment / Flat,Westlands,1,1,1,2026-02-21
8940000,1 Bedroom Apartment / Flat,Westlands,1,1,1,2026-02-21
7000000,1 Bedroom Apartment / Flat,Westlands,1,1,1,2026-02-21
12600000,2 Bedroom Apartment / Flat,Westlands,2,2,2,2026-02-21
12000000,2 Bedroom Apartment / Flat,Westlands,2,2,1,2026-02-21
8100000,1 Bedroom Apartment / Flat,Westlands,1,1,1,2026-02-21
9200000,1 Bedroom Apartment / Flat,Westlands,1,1,1,2026-02-21
9000000,1 Bedroom Apartment / Flat,Westlands,1,1,1,2026-02-21
8700000,1 Bedroom Apartment / Flat,Westlands,1,1,1,2026-02-21
19000000,3 Bedroom Apartment / Flat,Westlands,3,3,3,2026-02-21
19000000,3 Bedroom Apartment / Flat,Westlands,3,3,3,2026-02-21
6440000,1 Bedroom Apartment / Flat,Westlands,1,1,1,2026-02-21
8000000,1 Bedroom Apartment / Flat,Westlands,1,1,1,2026-02-21
14000000,2 Bedroom Apartment / Flat,Westlands,2,2,2,2026-02-21
14000000,2 Bedroom Apartment / Flat,Westlands,2,2,2,2026-02-21
8700000,1 Bedroom Apartment / Flat,Westlands,1,1,1,2026-02-21
12840000,2 Bedroom Apartment / Flat,Westlands,2,2,2,2026-02-21
6800000,1 Bedroom Apartment / Flat,Westlands,1,1,7,2026-02-21
6800000,1 Bedroom Apartment / Flat,Westlands,1,1,7,2026-02-21
6800000,1 Bedroom Apartment / Flat,Westlands,1,1,7,2026-02-21
6800000,1 Bedroom Apartment / Flat,Westlands,1,1,7,2026-02-21
5800000,1 Bedroom Apartment / Flat,Westlands,1,1,1,2026-02-21
24400000,3 Bedroom Apartment / Flat,Westlands,3,4,7,2026-02-21
22550000,3 Bedroom Apartment / Flat,Westlands,3,4,2,2026-02-21
5300000,1 Bedroom Apartment / Flat,Westlands,1,1,1,2026-02-21
5300000,1 Bedroom Apartment / Flat,Westlands,1,1,1,2026-02-21
5800000,1 Bedroom Apartment / Flat,Westlands,1,1,1,2026-02-21
8800000,1 Bedroom Apartment / Flat,Westlands,1,1,1,2026-02-21
19000000,3 Bedroom Apartment / Flat,Westlands,3,3,3,2026-02-21
13860000,2 Bedroom Apartment / Flat,Westlands,2,3,2,2026-02-21
5800000,1 Bedroom Apartment / Flat,Westlands,1,1,1,2026-02-21
31000000,4 Bedroom Apartment / Flat,Westlands,4,4,2,2026-02-21
6440000,1 Bedroom Apartment / Flat,Westlands,1,1,1,2026-02-21
11800000,2 Bedroom Apartment / Flat,Westlands,2,2,1,2026-02-21
14800000,3 Bedroom Apartment / Flat,Westlands,3,2,1,2026-02-21
8700000,1 Bedroom Apartment / Flat,Westlands,1,1,1,2026-02-21
350000000,Vacant Land / Plot,Westlands,,,,2026-02-21
16450000,2 Bedroom Apartment / Flat,Westlands,2,3,1,2026-02-21
15150000,2 Bedroom Apartment / Flat,Westlands,2,3,1,2026-02-21
14450000,2 Bedroom Apartment / Flat,Westlands,2,3,1,2026-02-21
18300000,3 Bedroom Apartment / Flat,Westlands,3,4.5,2,2026-02-21
22680000,3 Bedroom Apartment / Flat,Westlands,3,4.5,2,2026-02-21
19800000,3 Bedroom Apartment / Flat,Westlands,3,3,2,2026-02-21
19800000,3 Bedroom Apartment / Flat,Westlands,3,3,2,2026-02-21
19800000,3 Bedroom Apartment / Flat,Westlands,3,3,2,2026-02-21
17200000,2 Bedroom Apartment / Flat,Westlands,2,2,2,2026-02-21
6440000,1 Bedroom Apartment / Flat,Westlands,1,1,1,2026-02-21
17200000,2 Bedroom Apartment / Flat,Westlands,2,2,2,2026-02-21
17200000,2 Bedroom Apartment / Flat,Westlands,2,2,2,2026-02-21
13800000,2 Bedroom Apartment / Flat,Westlands,2,2,2,2026-02-21
13800000,2 Bedroom Apartment / Flat,Westlands,2,2,2,2026-02-21
13800000,2 Bedroom Apartment / Flat,Westlands,2,2,2,2026-02-21
